,snippet_x,category_id,snippet_y,filename,маркер,,Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,отрицание,позиция маркера,другое РО,жанр,,,
,"а общим недостатком - отсутствие в СЗИ средств, обеспечивающих накопление и обобщение опыта взаимодействия корпоративной сети с внешней средой и нейтрализации внутрисистемных угроз.",comparison_m,"Общей чертой существующих систем защиты информации является наличие отдельных средств идентификации (задача классификации) угроз, выявления и устранения уязвимостей и оперативной реакции на несанкционированные проникновения в корпоративную сеть,",comp_40.pkl,а,параллельные конструкции,квази (черта/недостаток; наличие/отсутствие),нет,да (общий),нет,нет,2,Контраст,наука,,,
,"В случае если h(D) совпадает с h(D''), принимаем что таблица D' совпадает с исходной таблицей ПДн D, и загружаем ее в ОЗУ для дальнейшей работы.",comparison_m,"В противном случае, если полученное хэш-значение h(D) не совпало АЛГОРИТМ КОНТРОЛЯ ЦЕЛОСТНОСТИ ДЕПЕРСОНАЛИЗИРОВАННЫХ . с h(D ), алгоритм должен выдать сообщение оператору о том, что была нарушена целостность файла с деперсонализированными данными.",comp_54.pkl,в противном случае,"в противном случае, параллельные конструкции",нет,нет,да,нет,да,2,Контраст,наука,,контраст,
,"горизонтальная фрагментация - разделение отношения на подмножества таким образом, что каждое подмножество содержит полный набор атрибутов.",comparison_m,"Вертикальная фрагментация - это разделение атрибутов на группы,",comp_48.pkl,nd,"параллельные конструкции, антонимы",горизонтальный-вертикальный,да группы подмножества,да,да,нет,nd,,наука,,,
,"Целью первичной горизонтальной фрагментации является оптимизация операций над множествами, позволяющая, во-первых, сузить пространство поиска и, во-вторых, обеспечить возможность параллельного выполнения операций.",comparison_m,"Целью же вторичной горизонтальной фрагментации является повышение скорости навигационных операций, достигаемое за счет объединения множеств объектов различных типов.",comp_48.pkl,же,"параллельные конструкции, антонимы",да первичный-вторичный,да повышение оптимизация,нет,нет,нет,2,,наука,,,
,"как карты из кластера Б будут изменять оценку карт из кластера А),",comparison_m,"(т.е. карты из кластера А будут изменять оценку карт из кластера Б не так,",comp_22.pkl,"не так, как",,,,да,нет,нет,both,,наука,,рестейтмент,
в контраст,"Пострадавшие в один голос обвиняют в погромах гурских хасидов, которые, якобы, хотят выгнать из квартала всех его обитателей и построить там гигантский торговый центр, который принесет общине огромные прибыли. Иерушалми не смог выяснить истинные обстоятельства и подоплеку событий в закрытом мире ультраортодоксальных общин.",comparison_m,"Гурские хасиды отрицают свою причастность к погромам и заявляют, что все это дело рук ультраортодоксальной общины Нетурей карта. Иерушалми не смог выяснить истинные обстоятельства и подоплеку событий в закрытом мире ультраортодоксальных общин.",news_5.pkl,nd,отрицать,да обвиняют отрицают,нет,нет,нет,нет,nd,,новости,,,
,"Фактически, для продовольственной безопасности нам необходимо то же самое,",comparison_m,что сделала Межправительственная группа экспертов по изменению климата при ООН для изменения климата: основанная на научных достижениях система оповещения планеты о тревоге.,news_23.pkl,"то же самое, что",,нет,нет,нет,нет,нет,both,,новости,,,
,Первоначально Дурову принадлежало 20 процентов акций компании. Еще по 20 процентов находилось в руках первых инвесторов стартапа — Вячеслава Мирилашвили и Льва Левиева. Около 40 процентов акций принадлежало деду Вячеслава Мирилашвили.,comparison_m,"В 2007 году в число акционеров «ВКонтакте» вошел инвестор Юрий Мильнер. Позже его доля перешла под контроль ""Английское название"" Group и Алишера Усманова. В итоге Усманов стал владельцем 39,9 процента акций «ВКонтакте». В апреле 2013 года Мирилашвили и Левиев продали свои доли фонду UCP, принадлежащему Илье Щербовичу Щербович известен своими связями с нефтегазовой отраслью, он входит в совет директоров таких компаний, как «Роснефть» и «Транснефть») В настоящее время UCP принадлежит 48 процентов акций социальной сети. Самому Дурову принадлежит только 12 процентов. При этом за Дуровым остается право голосовать пакетом ""Английское название""",news_63.pkl,nd,количественное сравнение,нет,да глаг,да,нет,нет,nd,,новости,,,
в контраст,В настоящее время UCP принадлежит 48 процентов акций социальной сети.,comparison_m,"Самому Дурову принадлежит только 12 процентов. При этом за Дуровым остается право голосовать пакетом ""Английское название""",news_63.pkl,nd,"только, количественное сравнение",нет,нет,да,нет,нет,nd,,новости,,,
в контраст,"В то время как CO2 остается в атмосфере столетиями,",comparison_m,"другие загрязняющие вещества, включая сажу и озон, остаются в ней только на некоторый период – дни, недели, месяцы или годы",news_19.pkl,в то время как,только,да столетия дни,нет,да,нет,нет,1,,новости,,,
,"""Понятие ""глубочайшая пещера"" - не абсолютное.",comparison_m,"Это не Эверест, выше которого вершины на Земле никогда не будет.",news_50.pkl,это не,,,,,,да,2,,новости,,контраст,
,"У жителей Финляндии средняя масса 69,3 кг,",comparison_m,"у монголов и жителей Северного Китая - 55,8,",news_49.pkl,nd,параллелизмколичественное сравнение,нет,нет,да ,нет,нет,nd,,новости,,,
,"У жителей Финляндии средняя масса 69,3 кг,",comparison_m,"а у вьетнамцев - всего 50,4 кг.",news_49.pkl,nd,параллелизмколичественное сравнение,нет,нет,да ,нет,нет,nd,,новости,,,
,"У жителей Финляндии средняя масса 69,3 кг, у монголов и жителей Северного Китая - 55,8, а у вьетнамцев - всего 50,4 кг.",comparison_m,"Наименьший рост и массу имеют жители экваториальных областей. Так, мужчина бушмен из пустыни Калахари весит в среднем 40 кг.",news_49.pkl,nd,параллелизмколичественное сравнение,нет,нет,да ,нет,нет,nd,,новости,,,
,"Как кровяное давление или температура тела не содержат всей информации о состоянии организма,",comparison_m,"так и температура воздуха или температурный индекс не могут содержать всей информации об атмосфере, даже если метеорологические параметры находятся в некоторой связи между собой.",news_49.pkl,как… так и,,нет,нет,да ,нет,нет,both,,новости,,,
,В этой связи все ссылки на высокий процент межнациональных браков в советское время не слишком состоятельны.,comparison_m,"(равно как и размышления по поводу того, что будущий лидер Абхазии Владислав Ардзинба защищал свою докторскую диссертацию «Ритуалы и мифы древней Анатолии» в Тбилиси в 1985 году)",news_7.pkl,равно как и,,нет,нет,нет,нет,да,2,,новости,,,
в контраст,Сосуществование двух амбициозных элит было возможно в рамках советского проекта.,comparison_m,Вне его (и вне репрессивных механизмов контроля над настроениями) такое сосуществование оказалось нереальным.,news_7.pkl,вне его,параллельные конструкции,да (возможный/нереальный),,,,да,2,,новости,,,
,"эмигранты утвеождают, что переговоры должны быть основаны на их предложениях автономии,",comparison_m,"в то время как Китай заявляет, что обсуждение будет посвящено исключительно «личному статусу» Далай ламы – и его местожительству в Бейджине в случае его возвращения в Китай.",news_22.pkl,в то время как,исключительно,нет,да глаг,да,нет,нет,2,,новости,,,
в контраст,"Однако до сих пор подобный подход является единственным,",comparison_m,в то время как все остальные попытки обернулись крахом.,news_20.pkl,в то время как,подобный,,"да (подход, попытка))",,,,2,,новости,,,
,в Москве к интернет-пользователям можно отнести две трети жителей (65%),comparison_m,"в Санкт-Петербурге — несколько больше , чем две трети (70%).",news_38.pkl,nd,параллельные конструкции,,,,,,nd,,новости,,,
,"К концу 2014 года проникновение интернета среди 25—34-летних и 35—44-летних достигнет максимального значения (97—99%), а численность пользователей в данных возрастных группах составит 22 млн и 19 млн человек соответственно.",comparison_m,К концу прогнозного периода к интернет-пользователям можно будет отнести три четверти 45—54-летних (76%);,news_38.pkl,nd,параллельные конструкции,,,,,,nd,,новости,,,
,К концу прогнозного периода к интернет-пользователям можно будет отнести три четверти 45—54-летних (76%);,comparison_m,в возрастной группе 55 лет и старше доля месячной аудитории составит лишь 24%.,news_38.pkl,nd,,,,,,,nd,,новости,,,
,Через четыре года в Москве интернетом будут пользоваться примерно восемь из каждых десяти человек ( месячная аудитория составит 78%).,comparison_m,При сохранении текущих трендов развития в Санкт-Петербурге к концу 2014 года показатели распространения интернета довольно значительно превысят московские : месячная интернет-аудитория составит примерно 89%.,news_38.pkl,nd,,,,,,,nd,,новости,,,
,уровень рублевой инфляции за 2002 год составил 15 процентов.,comparison_m,Столько же в среднем банки платят по рублевым депозитам.,news_45.pkl,столько же,,,,,,,2,,новости,,,
,"Тот же концерн BMW реализует в России несколько тысяч машин в год,",comparison_m,тогда как на рынке Северной Америки счет продаж идет на сотни тысяч.,news_45.pkl,тогда как,,,,,,,2,,новости,,,
,"К примеру, BMW застраховал риски на североамериканском, то есть долларовом рынке на год вперед,",comparison_m,"а другая германская компания, Porsche, - аж до 2007 года.",news_45.pkl,а,,нет,квази (BMW/Porsch),нет,нет,,2,,новости,,,
,"держатели долларов недосчитались более 8 процентов, если хранили наличные,",comparison_m,"и от 1,5 процента до 4,5 процента, если имели вклады в ""зеленых"".",news_45.pkl,и,параллельные конструкции,,,,,,2,,новости,,,
,"если на начало 2002 года вклады в евро составляли около 2 процентов всех депозитов этого кредитного института,",comparison_m,"то на конец года данный показатель достиг 5 процентов - рост в 2,5 раза.",news_45.pkl,если... то,параллельные конструкции,,,,,,both,,новости,,,
,"Начались столкновения, в котором радикально настроенные противники власти использовали палки, булыжники и бутылки с зажигательной смесью.",comparison_m,"Правоохранители, в свою очередь, применяли водометы, слезоточивый газ, шумовые гранаты и резиновые пули.",news_60.pkl,в свою очередь,параллельные конструкции,,,,,,2,,новости,,,
,Есть бытовая фитотерапия,comparison_m,"точно так же, как есть и бытовая хирургия, терапия и даже гинекология.",news_46.pkl,"точно так же, как",параллельные конструкции,,,да (бытовой),,,both,,новости,,,
,"По данным экспертов Всемирной организации здравоохранения, от осложнений лекарственной терапии ежегодно погибает около одного процента жителей планеты. Гораздо больше людей страдают от побочных эффектов, которые снижают качество жизни и инициируют патологические процессы.",comparison_m,"Альтернативой обычной фармакотерапии служит фитотерапия, то есть лечение растениями. Извлечения из лекарственных растений проявляют целебные свойства, сопоставимые с действием обычных лекарств, и дают меньше побочных эффектов.",news_46.pkl,алтернативой служить,,,,,,,2,,новости,,,
в контраст,"Не случайно врачи крайне редко назначают одно лекарство,",comparison_m,"чаще подбирают несколько лекарственных средств, обеспечивающих комплексное воздействие. Многие современные лекарственные препараты включают несколько ингредиентов, благодаря чему достигается большая эффективность. Фитотерапия - яркий пример комплексного подхода.",news_46.pkl,редко … чаще,параллельные конструкции,да (редко /чаще; одно/несколько),нет,"да (лекарство, лекарственный)",нет,,both,,новости,,,
,Благодаря инициативе ICANN список имен первого уровня значительно расширится.,comparison_m,"В то же время, бесточечные домены пока не классифицируются ICANN и не рассматриваются ей для массового пользования.",news_26.pkl,в то же время,,,да (расшириться/массовый),,,,2,,новости,,,
,"При постройке ступенчатая пирамида в Эдфу была высотой 13 метров, однако за тысячелетия частично разрушилась.",comparison_m,Теперь ее высота не превышает пяти метров.,news_57.pkl,теперь,,,,,,,2,,новости,,,
,"Центральные блоки в строении установлены вертикально,",comparison_m,в то время как внешние уложены по одной их стороне горизонтально друг на друга.,news_57.pkl,в то время как,параллельные конструкции,,,,,,2,,новости,,,
,"однако их материальные расходы на эту войну оказались почти такими же,",comparison_m,какой ущерб они нанесли Югославии.,news_9.pkl,"такой же, какой",,,,,,,both,,новости,,,
,"Большая часть этого роста связана скорее с тем, что общественность ощущает воображаемую волну преступности, и с тем, как она воспринимает людей с «бандитской» внешностью, а также с реакцией политиков на периодически появляющиеся газетные заголовки об убийствах,",comparison_m,чем с каким-либо реальным уровнем преступности.,news_78.pkl,"связан скорее с тем, что … чем с","параллельные конструкции, эллипсис",,,,,,both,,новости,,,
,"В Америке сейчас в пять раз больше заключенных,",comparison_m,чем было в 1980 году.,news_78.pkl,"больше, чем",,,,,,,both,,новости,,,
,"Развивающиеся рынки могут исчезнуть,",comparison_m,"а инвестиционные возможности испариться,",news_16.pkl,а,,нет,да (исчезнуть/испариться),нет,нет,,2,,новости,,,
,"Некоторые источники сообщают о двух раненых полицейских,",comparison_m,"другие источники — об убитом полицейском, его раненом коллеге и раненом учителе.",news_55.pkl,некоторые X... другие X,эллипсис,,,,,,both,,новости,,,
,"Некоторые источники сообщают о двух раненых полицейских,",comparison_m,"Также сообщалось, что раненый учитель якобы скончался.",news_55.pkl,также,,,,,,,2,,новости,,,
в контраст,"По одним данным, их разместили в соседней школе номер 1459.",comparison_m,"По другим данным, эта школа, наоборот, на всякий случай также была эвакуирована.",news_55.pkl,по одним данным... по другим данным,наоборот,,,да (школа),,,2,,новости,,,
,"В 2001-м и в 2008 годах там уже шла резня, стоившая жизни тысячам человек.",comparison_m,В этот раз число жертв примерно полторы-две сотни.,news_13.pkl,в этот раз,,,,,,,2,,новости,,,
,"О Гык Рёль занимает тот же пост,",comparison_m,что и Чан Сон Тхэк до своей казни.,news_59.pkl,"тот же, что и",эллипсис,,,,,,both,,новости,,,
,"В то время как дядю северокорейского лидера в последнее время называли вторым лицом в государстве,",comparison_m,"О Гык Рёлю такую же степень влиятельности приписывали еще в 2010 году об этом, например, писала The Christian Science Monitor) Этот статус О Гык Рёль потерял с ростом влияния Чан Сон Тхэка, утверждает «Чосон ильбо».",news_59.pkl,"в то время как, такой же",,,,,,,1/2,,новости,,,
в контраст,С одной стороны Хамас впервые согласилась с созданием палестинского государства на Западном Берегу и в секторе Газа с Восточным Иерусалимом в качестве его столицы.,comparison_m,С другой стороны платформа повторяет отказ Хамас уступить даже дюйм исторической земли Палестины.,news_72.pkl,с одной стороны... с другой стороны,даже,,,,,,both,,новости,,,
,"неделю назад курс был равен 1,186,",comparison_m,"а сейчас — 1,13.",news_32.pkl,а,"параллельные конструкции, эллипсис",нет,квази (неделю назад/сейчас),нет,нет,,2,,новости,,,
,"Фунт и евро немного укрепились,",comparison_m,"а иена слегка упала,",news_32.pkl,а,"параллельные конструкции, эллипсис",квази (упасть/укрепиться),да (немного/слегка),нет,нет,,2,,новости,,,
,"Наименьшим потенциалом падения по-прежнему обладают американский доллар и швейцарский франк,",comparison_m,наибольшим — японская иена и фунт стерлингов.,news_32.pkl,nd,"параллельные конструкции, антонимы, эллипсис",да (наименьший/наибольший),да (доллар/франк/иена),нет,,,nd,,новости,,,
,"В резолюции 1244 не говорится о том, что Косово должно оставаться в составе Сербии,",comparison_m,не исключает она и независимость Косово.,news_77.pkl,и,,,,,,,2,,новости,,,
,К концу советского периода этнические абхазы составляли лишь 17% населения своей автономной республики.,comparison_m,Грузин было гораздо больше (но меньше половины населения республики) — 42% (по данным на 1989 год).,news_10.pkl,гораздо больше,,,,,,,2,,новости,,,
,К концу советского периода этнические абхазы составляли лишь 17% населения своей автономной республики.,comparison_m,"Остальную часть населения Абхазии составляли русские, армяне, представители других народов СССР, а также греки, турки и т.д.",news_10.pkl,остальной X,параллельные конструкции,,,,,,2,,новости,,,
,"Русских крестьян освободили от помещиков-крепостников. В 1864 году и для Абхазии подошла очередь реформироваться по общеимперским стандартам. Князь Михаил безропотно отдал власть, но попытался самовольно отъехать за границу. За это его отправили в Воронеж, фактически в ссылку. Там он и скончался в 1866 году.",comparison_m,"Грузинских крестьян в Мингрелии освободили из-под власти княжеского семейства Дадиани, разорявшего подданных немереными поборами.",news_10.pkl,nd,параллельные конструкции,,,,,,nd,,новости,,,
,"FitBit – гаджет в виде клипсы, похожий на hitech-прищепку для белья. Она фиксирует, сколько ты нашагал в день, и шлет отчеты в сеть. Вы можете радоваться и сокрушаться количеству соженных калорий.",comparison_m,"Для нового iPod, кстати, тоже предусмотрена похожая примочка от Nike.",news_34.pkl,"тоже, похожий",кстати,,,,,,2,,новости,,,
,Изобретатель создает что-то новое,comparison_m,"Инвестор – это только тот, кто инвестирует в идеи других.",news_34.pkl,nd,только,,,,,,nd,,новости,,,
,"Изобретатель создает что-то новое и пытается на этом заработать. Инвестор – это только тот, кто инвестирует в идеи других.",comparison_m,Инноватор – адаптировать и модифицировать что-то для нового рынка.,news_34.pkl,nd,"параллельные конструкции, эллипсис",,,,,,nd,,новости,,,
,"Swype – интересная программа для любых сенсорных дисплеев, которая позволяет вам без ошибок писать слова, просто соединяя движением пальца (или стилусом) буквы на виртуальной клавиатуре. Создатели уверяют, что можно достичь скорости 50 слов в минуту. Автор программы Клиф Кашлер – соавтор T9, программы, знакомой любому владельцу мобильного телефона, которая предсказывает печатаемое слово по мере набора, тем самым ускоряя и упрощая переписку.",comparison_m,На iPhone эта программа называется WrittingPad. Но пока не для русского языка.,news_34.pkl,nd,,,,,,,nd,,новости,,,
,"Государство не заигрывает с социальными вопросами,",comparison_m,а народ не вовлекается во внутреннюю политику.,news_73.pkl,а,параллельные конструкции,да (государство/народ),квази (внуртенняя политика/социальные вопросы),нет,нет,"не, не",2,,новости,,,
,"что он контролирует ситуацию в стране даже в большей степени,",comparison_m,"чем другие новые арабские лидеры, такие как король Иордании Абдула или король Марокко Мухамед.",news_73.pkl,"в большей степени, чем",,,,,,,1,,новости,,,
в контраст,А консерваторы уже заявили об отказе входить в коалицию с либералами.,comparison_m,"Либерал-демократы, наоборот, даже таким способом не смогут добиться влияния, как раз пропорционального их популярности. Потому что даже суммирования их мест и 258 мест лейбористов (пока ещё формально правящих) не хватит для обеспечения большинства.",news_36.pkl,наоборот,уже,,,,,,2,,новости,,,
,"В коалицию с либерал-демократами, как было сказано выше, консерваторы не собираются по идейным соображениям,",comparison_m,"а лейбористам такая коалиция ничего не даст, голосов всё равно не хватит до большинства.",news_36.pkl,а,,да (либерал-демократы/лейбористы),нет,да (коалиция),нет,,2,,новости,,,
,"Хорошо, что у книг есть выходные данные.",comparison_m,А ведь есть ещё колоссальное количество мультфильмов.,news_35.pkl,а,ведь,нет,нет,да (есть),нет,,2,,новости,,,
в контраст,"Один из дилеров на рынке строительных материалов, например, в доверительной беседе, говоря об объеме продаваемого товара у других дилеров, называл цифры заниженные в разы, при этом еще давал неверную информацию по логистике.",comparison_m,"Одновременно, другой дилер, на том же рынке, говоря о тех же объемах продаж давал прямо противоположную информацию.",news_44.pkl,"одновременно, один X... другой Y ","тот же, противоположный, параллельные конструкции",,,"да (рынок, дилер, объем. продажа/продаваемый))",,,2,,новости,,,
,"Казалось бы, простая арифметика - при годовом обороте в $3 млн. в бюджете на поиск информации необходимо выделять примерно $10 тыс.,",comparison_m,а при годовом обороте $30 млн. -- 30-100 тыс.,news_44.pkl,а,"параллельные конструкции, эллипсис",нет,квази (30 млн/3 млн),да (при годовом обороте),нет,,2,,новости,,,
,Основные методы основаны на логике и сборе легальной информации.,comparison_m,"А вот методы сбора отличаются кардинально: это и беседы с сотрудниками фирмы конкурента (темы любые: о погоде, об учебе и заодно о товаре), беседа по телефону с менеджерами - в большинстве случаев при правильной беседе можно узнать сразу половину всей интересующей информации, это резюме сотрудников, в которых они могут раскрыть часть информации, чтобы понравиться новому работодателю, это интернет, в котором те же менеджеры проводят часы в форумах, это и черновики, которые сотнями удаляются из офисов. Часть методов основана на наблюдении, которое в исследовании конкурентов применяется широко.",news_44.pkl,а вот,"отличаться, кардинально",,,,,,2,,новости,,,
,"Главный российский военный маневр, Кавказ 2009, находится в стадии реализации.",comparison_m,"Последний такой маневр, Кавказ 2008, сопровождался вторжением в Грузию.",news_18.pkl,такой,,,,,,,2,,новости,,,
,Грузия не получила никакой военной поддержки и является фактически незащищенной.,comparison_m,Кремль продолжает свое пропагандистское наступление на Грузию и наложил вето на продление мандата для наблюдателей ООН в Грузии и Абхазии.,news_18.pkl,nd,,,,,,,nd,,новости,,,
,"Хорошо известно, что в центре практически каждой крупной галактики находится массивная чёрная дыра.",comparison_m,В то же время самые тяжёлые галактики окружены самыми массивными гало из тёмной материи.,news_12.pkl,в то же время,,,,,,,2,,новости,,,
,"Поскольку чаще всего чем больше галактика,",comparison_m,"тем больше её ядро,",news_12.pkl,чем… тем,,,,,,,both,,новости,,,
,"а трудные проблемы будут разрешаться легче,",comparison_m,чем вы ожидали.,news_33.pkl,чем… тем,,,,,,,both,,новости,,,
,"Этим утром будет лучше чуть сильнее подстраховаться,",comparison_m,"чем даже слегка отпустить тормоза и сделать более резкое, чем нужно, движение.",news_33.pkl,сравнит. степень + чем,даже,,,,,,both,,новости,,,
,До Дарвина вопрос об особенностях живых существ можно было осмысленно поставить в форме «Зачем?» или «Для чего?».,comparison_m,"Как в известной сказке: «Зачем тебе, бабушка, такие большие уши?» — «Чтобы лучше тебя слышать, детка».",news_6.pkl,как,,,,,,,2,,новости,,,
,"и стоят деревянные дома, от которых в Москве за пять минут не осталось бы щепки – а если бы это был музей, то сделали бы то же самое из двойного бетона,",comparison_m,но в Риге есть реально действующий рынок земли с понятными ценами и кучей объявлений в газете «Реклама».,news_37.pkl,но,,,,,,,2,,новости,,,
,"В игре «Спартака», по словам Карпина, позиционная оборона присутствует. Также в интервью «Чемпионат.com» Карпин выразил уверенность, что «Спартак» под его руководством станет чемпионом России уже в сезоне-2013/14. По словам тренера, с нынешним составом «Спартака» приятно работать. Карпин выразил мнение, что сейчас в «Спартаке» собрана «лучшая профессиональная команда» в истории столичного клуба.",comparison_m,"Карпин также отметил, что у «Барселоны», когда ее тренировал Гвардиола, «практически не было» позиционной обороны, и сейчас «Бавария» стремится к тому же.",news_68.pkl,nd,также,,,,,,nd,,новости,,,
,"В английской камере сидят двое вместо одного,",comparison_m,в Бутырке 60 вместо 30.,news_48.pkl,nd,"параллельные конструкции, эллипсис",,,,,,nd,,новости,,,
,"в невинных случаях заключенный передумывает и забирает чужую еду вместо своей,",comparison_m,в более серьезных обливает соседа кипятком.,news_48.pkl,nd,"параллельные конструкции, эллипсис",квази (невинный/серьезный),,,,,nd,,новости,,,
,"По одну сторону столика сидит заключенный,",comparison_m,по другую семья.,news_48.pkl,nd,"параллельные конструкции, эллипсис",,,,,,nd,,новости,,,
,"Заключенный категории А считается очень опасным и не должен убежать ни при каких обстоятельствах. При входе в тюрьму категории А всех обязательно обыскивают, там содержится небольшое число заключенных, но на них приходится много работников тюрьмы, значительно лучше оборудована охрана внешних стен.",comparison_m,"А, вот, тюрьма категории D это так называемая открытая тюрьма, там стен нет вовсе, а заключенные могут сами выходить из нее на работу. Часто они работают в том же городе и ездят туда на собственной машине. Пример такой тюрьмы Лэйхилл. Там заключенные занимаются садоводством, недавно даже победили на самой знаменитой выставке цветов в Челси. Открытая тюрьма многим напоминает введенные недавно в России колонии-поселения.",news_48.pkl,а вот,,,,,,,2,,новости,,,
,"Свидания заключенных с родственниками проходят в большом зале со столиками, похожем на кафе. По одну сторону столика сидит заключенный, по другую семья.",comparison_m,"От кафе помещение отличается обилием видеокамер в соседней маленькой комнатке сотрудник постоянно следит за мониторами. В такой комнатке я побывал дважды, и оба раза там оказывались люди неуравновешенные, маниакально подозревающие всех и вся. «Телевизор я уже не смотрю» , - сказал один из них.",news_48.pkl,отличаться,,,,,,,2,,новости,,,
,"Изначально нацеленный собственно на личность гостя,",comparison_m,"теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",news_15.pkl,изначально... теперь,изначально...теперь,да (изначально...теперь),,,,,2,,новости,,,
,"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя,",comparison_m,гость – что можно.,news_15.pkl,nd,"параллльные конструкции, эллипсис",,,,,,nd,,новости,,,
,"Лишь единицы заводов не изменили графика работы,",comparison_m,"большинство же сократили и рабочую неделю, и рабочий день.",news_1.pkl,же,лишь ,да (единицы/большинство),,да (работа. рабочий),,,2,,новости,,,
,Обязательная продажа - мера временная. Пригодна лишь для плохой финансовой ситуации.,comparison_m,"А если ситуация стабильно хороша, то из ""правила 75%"" надо делать ""правило 50%"" или вообще его отменять.",news_47.pkl,а,,да (хорош/плохой,,да (ситуация),,,2,,новости,,,
