№/название текста,Id,Контекст,Ядро,№,Сателлит/Ядро-2,№,Тип отношения,Маркер,"""Доп. комп-ты"" маркера",Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,NKRYA: yes/no/nm,rusgram: yes/no/nm,verb/noun/preposition/adverb/adverbial/conjunction/lexfunc,w/mwu/nm,prim/sec/punct/nm,marker in Nuc=1/Sat=2,clause initial / clause internal/nm (marker position),sent initial /no/nm (marker position),???discontinuity,межсент/ межклауз/внутриклауз,"Отрицание, как","Отрицание, где",ana/nd,Nucl=this/that/what/nd/,Sat=this/that/what/nd/,Количество ЭДЕ в 1,Количество ЭДЕ во 2,order of nucleus: 1/2,order of sattelite,Nucl=ind/compl+ind/conv/part/nmz/N/NP,Sat=ind/compl+ind/conv/part/nmz/N/NP,жанр
ling_6.pkl,660,,"Оказалось, сами эти -излишества""... не просто нередуцируемы,",,"а суть то, что конституирует язык как язык, т.е. делает его средством описания и коммуникации» [13], «расцениваемые прежде как недостатки — нечеткость, бессистемность, многозначность, зависимость от контекста и другие характеристики обыденного языка — на самом деле оказываются важнейшими свойствами, обеспечивающими его продуктивность» [8, с. 8].",,Contrast,не ... а,"оказалось, сами эти, не просто, на самом деле",да (редуцируемые-важнейшие),нет,нет,нет,,,,,,both,,,,межклауз,"нередуцируемы, недостатки, нечеткость","1,2",,,,2,2,,,,,
ling_6.pkl,661,,"В широком смысле под парадоксом понимают положение, резко расходящееся с общепринятыми, устоявшимися, ортодоксальными мнениями по какому-то вопросу и кажущееся нелогичным;",,"в узком смысле - это два противоположных, несовместимых утверждения, для каждого из которых имеются кажущиеся убедительными аргументы.",,Contrast,no marker,,"да (в широком смысле, в узком смысле)",да (расходящиеся-противоположные),нет,нет,,,,,,nd,,,,*точка,nd,nd,,,,1,1,,,,,
ling_6.pkl,662,,Однако в научном познании требование непротиворечивости обычно строго выполняется. Существующие противоречия как бы изнутри подрывают научную теорию.,,"Но этот недостаток оборачивается в положительный момент для самой теории, поскольку наличие парадоксов свидетельствует о несовершенстве концепции, что с необходимостью вызывает потребность в устранении парадоксов и, как следствие, приводит к развитию науки. По мнению А. К. Сухотина, только «ненормальная» теория, пронизанная парадоксами, способна сдвинуть человеческое познание [14]. Исследователь выделяет ряд этапов в процессе научного творчества. Подготовительный этап связан с накоплением и аналитической обработкой информации. По мере ее накопления включаются механизмы интуиции - бессознательного поиска решения проблемы. При этом зачастую к оптимальному решению приводят не логическое размышление, рациональный поиск, а отвлеченные ассоциативные построения, переключение на решение других проблем. После того как решение найдено, вновь вступает в свои права рационализация. Таким образом, парадокс научного мышления -в единстве интуитивного и рационального.",,Contrast,но,"этот, строго, сам, противоречивый, только",нет,нет,нет,нет,,,,,,2,,,,межсент,недостаток,2,,,,4,13,,,,,
ling_6.pkl,663,,"поскольку, с одной стороны, мышление неалгоритмично и неатомистично,",,с другой - связь языка и мышления не столь проста и однозначна.,,Contrast,с одной стороны ... с другой,"антонимы, не столь","да (неалгоритмичный-однозначный, неатомистичный-простой)",нет,нет,нет,,,,,,2,,,,межклауз,не,"1,2",,,,2,2,,,,,
ling_6.pkl,664,,"Искусственные языки отличает стремление к упорядоченности и безличной объективности. Конструкции идеальных языков есть продукт механистического истолкования природы мышления. Такой язык задает границы мысли, препятствуя ее развитию.",,"Научное познание невозможно формализовать, поскольку, с одной стороны, мышление неалгоритмично и неатомистично, с другой - связь языка и мышления не столь проста и однозначна.",,Contrast,no marker,не столь,да * квази (упорядоченность-невозможно формаизовать),нет,нет,нет,,,,,,nd,,,,межсент,невозможно,2,,,,4,5,,,,,
ling_6.pkl,666,,Обычно при их обнаружении первоочередной задачей является их устранение.,,"Однако необходимо принять во внимание, что парадоксы являются порождением мышления, следовательно, не они являются источником противоречий, а сам интеллект.",,Contrast,однако,"обычно, не.а",нет,нет,нет,нет,,,,,,2,,,,межсент,не,2,,,,1,2,,,,,
ling_6.pkl,668,,эта идея так и не получила реализации на практике.,,"несмотря на многовековые попытки внедрения,",,Concession,несмотря на X,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling_7.pkl,669,,"Они не знали его и обратившись к словарю, нашли английский глагол strut, который, очевидно, не мог служить вариантом перевода в данном контексте, поскольку, в первую очередь, актуализирует концепт WALK,",,"в то время как требовался глагол способный сочетаться с дополнением доблесть, то есть обозначающий действие, направленное на объект.",,Contrast,в то время как,"очевидно, в первую очередь",нет,нет,нет,нет,,,,,,2,,,,межклауз,не,1,,,,4,2,,,,,
ling_7.pkl,670,,"Когда тот или иной концепт, актуализированный в результате работы переводчика с исходным текстом, полностью или почти полностью совпадает с концептом, составляющим значение слова или словосочетания языка перевода, особенных трудностей не возникает. Переводчик довольно быстро переходит от концепта к слову.",,"Серьезные проблемы появляются тогда, когда некий концепт не может быть объективирован как значение известных переводчику единиц ПЯ, либо этот концепт представляет собой некую комбинацию из двух или более субконцептов, которые не объективируются посредством известных единиц как единый блок, либо, наконец, потому что концептуальная структура, актуализируемая предложением или его смысловым блоком, не может быть естественным образом объективирована посредством лексических единиц или грамматических структур ПЯ. В этом случае для объективации концептов переводчику приходится их рекомбинировать, то есть изменить структуру концептов или их комбинацию относительно друг друга так, чтобы эти концепты могли быть объективированы как значения известных переводчику единиц ПЯ и посредством естественных для последнего структур.",,Contrast,no marker,этот,нет,да (проблемы-трудности),нет,нет,,,,,,nd,,,,межсент,не,2,,,,3,9,,,,,
ling_7.pkl,671,,"При переводе слов суть и смысл один из переводчиков решил, что в качестве английских вариантов вполне могут быть использованы слова, которые наиболее часто выступают в роли соответствий указанных русских слов, а именно essence и meaning.",,"Другой же участник посчитал, что в данном конкретном контексте указанные русские слова актуализируют некий общий концепт близкий к понятию глубинных мотивов поведения. Кроме того, по его мнению, концепт, номинируемый словом essence плохо комбинируется с концептом BEHAVIOUR. В результате он объективирует концепт, создаваемый двумя русскими словами, посредством английского выражения, актуализирующего концептуальную схему, описывающую этот концепт: But what really lies at the heart of Peter’s behaviour?",,Contrast,же,данный,да(один-другой),нет,нет,нет,,,,,,,,,,межсент,nd,nd,,,,3,7,,,,,
ling_7.pkl,672,,"Концепт пространства, перемещаясь, трансформируется в концепт отношения,",,"но эта трансформация не затрагивает глубинной сущности концепта, меняется лишь его семантическая роль.",,Contrast,но,"эта, лишь",нет,да (трасформироваться-меняться),нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,2,,,,,
ling_7.pkl,673,,"Авторы отмечают тот факт, что в отличие от английского предложения, где компонент Путь выражен предлогом, во французском предложении он включен вместе с Действием в единый концепт, вербализуемый глаголом. С другой стороны, концепт, вербализуемый английским глаголом, включает в себя компонент Способ, а во французском варианте он выражен отдельным адвербиальным сочетанием. Подобные наблюдения указанных авторов свидетельствуют о том, что, оторвавшись от значений конкретных единиц исходного языка и «работая» на уровне смыслов, человеческое сознание способно анализировать входящие в концептуальную структуру концепты и совершать с ними различные операции, и что такие действия реально происходят при переводе.",," В противном случае Ж.-П. Вине и Ж. Дарбельне не смогли бы предложить указанный французский вариант, а предложили бы буквальный, который Ф. Унгерер и Х. Й. Шмид отмечают как неприемлемый — Bleriot vola par-dessus La Manche1.",,Contrast,в противном случае,не..а,нет,нет,нет,нет,,,,,,2,,,,межсент,"не, неприемлемый",2,,,,11,3,,,,,
ling_7.pkl,674,,"ведь обольщаться в данном контексте — это не просто обманывать себя,",,"а верить во что-то, во что хочется верить, что представляет собой привлекательное свойство.",,Contrast,не ... а,"ведь, не просто",да (обманывать-верить),нет,нет,нет,,,,,,both,,,,межклауз,не,1,,,,1,1,,,,,
ling_7.pkl,675,,"когда некий концепт не может быть объективирован как значение известных переводчику единиц ПЯ,",,"либо этот концепт представляет собой некую комбинацию из двух или более субконцептов, которые не объективируются посредством известных единиц как единый блок,",,Contrast 3,либо,этот,,,,,,,,,,2,,,,межклауз,не,1,,,,,,,,,,
ling_7.pkl,676,,"когда некий концепт не может быть объективирован как значение известных переводчику единиц ПЯ,",,"либо, наконец, потому что концептуальная структура, актуализируемая предложением или его смысловым блоком, не может быть естественным образом объективирована посредством лексических единиц или грамматических структур ПЯ.",,Contrast 3,либо,наконец,,,,,,,,,,2,,,,межклауз,не,2,,,,,,,,,,
ling_7.pkl,677,,"Слова * democratism не существует,",,"а концепт, актуализируемый словом democracy, хоть и может включать в себя понятие духа социального равенства, не сочетается в английской концептосфере с концептуальной областью свойств людей.",,Contrast,не ... а,-,да *квази ( не существует-может включать в себя),нет,да (слово),нет,,,,,,both,,,,межклауз,не,"1,2",,,,1,2,,,,,
ling_7.pkl,678,,"Авторы отмечают тот факт, что в отличие от английского предложения, где компонент Путь выражен предлогом, во французском предложении он включен вместе с Действием в единый концепт, вербализуемый глаголом.",,"С другой стороны, концепт, вербализуемый английским глаголом, включает в себя компонент Способ, а во французском варианте он выражен отдельным адвербиальным сочетанием.",,Contrast,с другой стороны,-,да (вербализуемый-адвербальный),нет,да (английский),да (единый-отдельный),,,,,,both,,,,межсент,nd,nd,,,,3,2,,,,,
ling_7.pkl,679,,"В противном случае Ж.-П. Вине и Ж. Дарбельне не смогли бы предложить указанный французский вариант,",,"а предложили бы буквальный, который Ф. Унгерер и Х. Й. Шмид отмечают как неприемлемый — Bleriot vola par-dessus La Manche1.",,Contrast,не ... а,-,нет,нет,да ( предложить),нет,,,,,,both,,,,межклауз,"не, неприемлемый",1,,,,1,2,,,,,
ling_7.pkl,680,,не сочетается в английской концептосфере с концептуальной областью свойств людей.,,"хоть и может включать в себя понятие духа социального равенства,",,Concession,хоть и,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling_8.pkl,681,,"в котором второй терминоэлемент образует опорное понятие,",,"а предшествующий ему терминоэлемент характеризует, субкатегоризирует этот опорный терминоэлемент.",,Contrast,а,этот,да (второй-предшествующий ему),нет,"да (опорный, терминоэлемент)",да (понятие-терминоэлемент),,,,,,2,,,,межклауз,nd,nd,,,,1,2,,,,,
ling_9.pkl,682,,"В инициирующих репликах данная языковая единица выполняет функцию уточняющего, требующего объяснения причины, элемента.",,"В реагирующих репликах она реализует несколько функций, а именно: риторическую, обращенную к общим фоновым знаниям участников речевого акта, и катафорическую, или эмфатическую, выделительную, акцентирующую внимание собственно на причине.",,Contrast,no marker,-,да (инициирующий-реагирующий),нет,"да (реплика, функция)",нет,,,,,,nd,,,,межсент,nd,nd,,,,1,1,,,,,
ling_9.pkl,683,,"Каузальный маркер why, использующийся в реагирующей реплике, не называет и не раскрывает причину, а лишь указывает на знание этой причины одним из коммуникантов,",,"а существительное reason в предложно-еубстан-тивной группе for some reason в структуре следственного элементарного предложения акцентирует внимание собеседника на причинных отношениях, но не называет их.",,Contrast,не ... а,"лишь, а не",да *квази (причина-следствие),да (указывать-акцентировать внимание),нет,нет,,,,,,both,,,,межклауз,не,1,,,,3,2,,,,,
ling_9.pkl,684,,"Каузальный маркер why, использующийся в реагирующей реплике, не называет",,"а лишь указывает на знание этой причины одним из коммуникантов,",,Contrast,не ... а,"лишь, этот",да *квази (не называть-указывать),нет,нет,нет,,,,,,both,,,,межклауз,не,1,,,,1,1,,,,,
ling_9.pkl,685,,"а существительное reason в предложно-еубстан-тивной группе for some reason в структуре следственного элементарного предложения акцентирует внимание собеседника на причинных отношениях,",,но не называет их.,,Contrast,но,-,да *квази (акцентировать внимание - не называть),нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,1,,,,,
ling_9.pkl,686,,"Ответная реплика Tor my goddam pleasure' сама по себе не дает четкого представления о типе семантических отношений, выражаемых в предыдущих высказываниях.",,"Лишь следующая реплика 'Now tell me the real reason' указывает на причинные отношения, раскрываемые в предыдущей реплике.",,Contrast ?,no marker,"повтор, лишь,сама по себе",нет,нет,"да (реплика, отношения, предыдущий)",нет,,,,,,2,,,,межсент,не,1,,,,1,1,,,,,
ling_9.pkl,687,,"Реагирующая реплика с reason, I can see several possible reasons why, акцентирует внимание собеседника на предстоящем раскрытии причины, которая вербализуется посредством каузального марке- j pa because,",,"хотя сама по себе и не является репликой, раскрывающей запрашиваемую причину.",,Concession,хотя,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"то, что в одной культуре является базовой ценностью, ",,"в другой может оказаться вспомогательной, и наоборот.",,Contrast из Comparison,в одной... в другой,наоборот; параллельные конструкции;,"да *квази (базовый/вспомогательный), один другой",да являться-оказаться,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Вьетнамские студенты утверждают, что употребление в речи пословиц и поговорок свойственно в большей мере людям старшего поколения и жителям деревни, занятым коллективным трудом на рисовых полях, ",,"в отличие от русской метафорической, образной речи не только городских улиц, но и российских СМИ.",,Contrast из Comparison,в отличие от X,не только... но и,квази (пословиы и поговорки/метафоричсекая образная речь),нет,да речь,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"И если одни исследователи утверждают, что практически все поддается переводу,",,"то, по мнению других, передача смыслов между языками проблематична, а иногда просто невозможна, т.к. даже переформулирование внутри одного языка чревато искажениями и потерями [5].",,Contrast из Comparison,если ... то,другие; параллельные конструкции; ,"да один/другой; поддается, проблематична",да ( передача смыслов/перевод),нет,да все-иногда,,,,,,,,,,,,,,,,,,,,,,
,,,"В собственно слоговых (по классификации В.Б.Касевича) языках типа китайского процедуре переворачивания подвергаются слоги целиком (а не их иници-али, централи или финали!), ",,в языках же неслоговых (фонемных) типа русского наиболее важную роль играют отдельные звуки речи.,,Contrast из Comparison,же,,да (слоговы/неслоговы;),нет,да (язык),да целиком/отдельные,,,,,,,,,,,,,,,,,,,,,,
,,,Некоторые речевые способы выражения причинных отношений способны в развернутой форме отражать причинный и событийный компоненты. ,,"Другие же выражают причинный и событийный компоненты в свернутом, редуцированном виде.",,Contrast из Comparison,же,некоторые/другие,да (развернутый/редуцированны),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"В предложно-падежной конструкции событийный компонент представлен в более свернутом виде, чем в придаточном предложении, ",,"а причинный компонент выражается в полной, развернутой форме.",,Contrast из Comparison,а,параллельные конструкции,"да (свернутый/полный, развернутый)",да (событийный/причинный; представлен/выражается),да (компонент),нет,,,,,,,,,,,,,,,,,,,,,,
,,,"что престижный выделенный статус в ней получают придаточные предложения, так как только они способны представить в максимально развернутой форме как причинный, так и событийный компоненты. ",,"Остальные члены иерархии получают периферийный статус, так как причинный или событийный компоненты в них частично или полностью редуцируются.",,Contrast из Comparison,no marker,"только, остальные; параллельные конструкции",да (престижный/периферийный),,"да (статус, получать, так как, компонент, причинный, событийны)",нет,,,,,,,,,,,,,,,,,,,,,,
,,,"В советское время интернационализмы были в основном иллюстрацией положительных явлений действительности, ",,а сейчас нередко функционирует в речи в ироническом подтексте или иллюстрирует антисоветскую точку зрения на прошлое.,,Contrast из Comparison,а,,квази (в советское время/сейчас; положительный/иронический),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Если термины в разных языковых традициях (в нашем материале это русский, английский и французский языки) в целом совпадают,",,"то различия в разговорном стиле, в том числе в разговорной и стилистически сниженной лексике, где оценочный компонент значения наиболее ярко проявляет свои особенности, касаются понятия (уровня) нормы, которое в исследуемых языках различно.",,Contrast из Comparison,если ... то,,да (совпплать/различно),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Если при записи иноязычных слов в начале XIX в. старались сохранить оригинальное написание, ",,то с середины века стремились отразить фонетическую передачу.,,Contrast из Comparison,если ... то,,да (оригинальное написание/фонетическая передача),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"С точки зрения языка здесь все правильно, ",,а вот с точки зрения соотнесения объектов реального мира - нет.,,Contrast из Comparison,а вот,,да (правильно/нет),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"то, что в одной культуре является базовой ценностью, ",,"в другой может оказаться вспомогательной, и наоборот.",,Contrast из Comparison,в одной... в другой,параллельные конструкции; наоборот,"да *квази (базовый/вспомогательный), один другой",да являться-оказаться,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Вьетнамские студенты утверждают, что употребление в речи пословиц и поговорок свойственно в большей мере людям старшего поколения и жителям деревни, занятым коллективным трудом на рисовых полях, ",,"в отличие от русской метафорической, образной речи не только городских улиц, но и российских СМИ.",,Contrast из Comparison,в отличие от,не только... но и,квази (пословиы и поговорки/метафоричсекая образная речь),нет,да речь,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Вторая позиция - либеральная, рассматривающая образование с точки зрения индивидуального блага с присущей ему свободой и личностной ценностью.",,"Первая относится к инструментальной традиции образования, делающей акцент на общественном интересе, т. е. на потребности общества в тех или иных профессиях, идеологических установках и т. д.",,Contrast из Comparison,no marker,параллельные конструкции,да (общественный/индивидуальный),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"И если одни исследователи утверждают, что практически все поддается переводу,",,"то, по мнению других, передача смыслов между языками проблематична, а иногда просто невозможна, т.к. даже переформулирование внутри одного языка чревато искажениями и потерями [5].",,Contrast из Comparison,если... то,параллельные конструкции; другие,"да один/другой; поддается, проблематична",да ( передача смыслов/перевод),нет,да все-иногда,,,,,,,,,,,,,,,,,,,,,,
,,,"В собственно слоговых (по классификации В.Б.Касевича) языках типа китайского процедуре переворачивания подвергаются слоги целиком (а не их иници-али, централи или финали!), ",,в языках же неслоговых (фонемных) типа русского наиболее важную роль играют отдельные звуки речи.,,Contrast из Comparison,же,,да (слоговы/неслоговы;),нет,да (язык),да целиком/отдельные,,,,,,,,,,,,,,,,,,,,,,
,,,в то время как коэффициенты высокочастотных компонент сгруппированы в правой нижней части матрицы.,,"Следует отметить, что коэффициенты низкочастотных компонент располагаются ближе к верхнему левому углу,",,Contrast из Comparison,в то время как,"параллельные конструкции, антонимы",да (низкочастотный/высокочастотный; верхний левый/нижний правый),,да,,,,,,,,,,,,,,,,,,,,,,,
,,,то при изучении сочетаемости морфем в словообразовательных процессах [8] значимость экспертизы весьма понятна.,,"И если в случае сочетаемости слов важность экспертных оценок не так очевидна,",,Contrast из Comparison,если ... то,"весьма, параллельные конструкции",да (не так очевидна/понятна),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"а по результатам сравнения данных показателей с показателем, рассчитанным при идеально функционирующей, гипотетической, системе МС (с его критериальным значением, установленным для решаемой задачи), выводится абсолютная оценка исследуемых вариантов.",,"По результатам сравнения показателей эффективности объекта управления производится относительная оценка вариантов организации или построения СМС,",,Contrast из Comparison,а,параллельные конструкции,да (относительный/абсолютный),нет,да (по результатам сравнения показателей; оценка),нет,,,,,,,,,,,,,,,,,,,,,,
,,,Некоторые речевые способы выражения причинных отношений способны в развернутой форме отражать причинный и событийный компоненты. ,,"Другие же выражают причинный и событийный компоненты в свернутом, редуцированном виде.",,Contrast из Comparison,же,некоторые/другие,да (развернутый/редуцированны),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"В предложно-падежной конструкции событийный компонент представлен в более свернутом виде, чем в придаточном предложении, ",,"а причинный компонент выражается в полной, развернутой форме.",,Contrast из Comparison,а,параллельные конструкции,"да (свернутый/полный, развернутый)",да (событийный/причинный; представлен/выражается),да (компонент),нет,,,,,,,,,,,,,,,,,,,,,,
,,,"что престижный выделенный статус в ней получают придаточные предложения, так как только они способны представить в максимально развернутой форме как причинный, так и событийный компоненты. ",,"Остальные члены иерархии получают периферийный статус, так как причинный или событийный компоненты в них частично или полностью редуцируются.",,Contrast из Comparison,,параллельные конструкции; остальные,"да (престижный/периферийный, максимальный-редуцируются",да предложения-члены,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,Сосуществование двух амбициозных элит было возможно в рамках советского проекта.,,Вне его (и вне репрессивных механизмов контроля над настроениями) такое сосуществование оказалось нереальным.,,Contrast из Comparison,вне его,параллельные конструкции,да (возможный/нереальный),,,,,,,,,,,,,,,,,,,,,,,,,
,,,"В советское время интернационализмы были в основном иллюстрацией положительных явлений действительности, ",,а сейчас нередко функционирует в речи в ироническом подтексте или иллюстрирует антисоветскую точку зрения на прошлое.,,Contrast из Comparison,а,,квази (в советское время/сейчас; положительный/иронический),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Не случайно врачи крайне редко назначают одно лекарство,",,"чаще подбирают несколько лекарственных средств, обеспечивающих комплексное воздействие. Многие современные лекарственные препараты включают несколько ингредиентов, благодаря чему достигается большая эффективность. Фитотерапия - яркий пример комплексного подхода.",,Contrast из Comparison,редко … чаще,параллельные конструкции,да (редко /чаще; одно/несколько),нет,"да (лекарство, лекарственный)",нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Если термины в разных языковых традициях (в нашем материале это русский, английский и французский языки) в целом совпадают,",,"то различия в разговорном стиле, в том числе в разговорной и стилистически сниженной лексике, где оценочный компонент значения наиболее ярко проявляет свои особенности, касаются понятия (уровня) нормы, которое в исследуемых языках различно.",,Contrast из Comparison,если... то,,да (совпплать/различно),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Если при записи иноязычных слов в начале XIX в. старались сохранить оригинальное написание, ",,то с середины века стремились отразить фонетическую передачу.,,Contrast из Comparison,если... то,,да (оригинальное написание/фонетическая передача),да сохранить-отразить,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"С точки зрения языка здесь все правильно, ",,а вот с точки зрения соотнесения объектов реального мира - нет.,,Contrast из Comparison,а вот,,да (правильно/нет),нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"его интересовали уже христианские ценности, ",,"тогда как ценности исламские (тюркские) занимали отнюдь не центральное место в общей картине мира, нарисованной этим писателем-философом.",,Contrast из Comparison,тогда как,"отнюдь не, уже",нет,,да,ко гип антитеза исламский - христианский,,,,,,,,,,,,,,,,,,,,,,
,,,"И если функционально-семантический план соотнесен с планом выражения категории, представляя совокупность языковых средств, реализующих побудительное значение, ",,"то коммуникативно-прагматический план — это план содержания, обусловливающий все многообразие и в то же время интен-циональную целостность выражения побудительного значения в коммуникативном акте.",,,если... то,,да квази содержание- выражение,да совокупность целостность,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,"Вторая позиция - либеральная, рассматривающая образование с точки зрения индивидуального блага с присущей ему свободой и личностной ценностью.",,"Первая относится к инструментальной традиции образования, делающей акцент на общественном интересе, т. е. на потребности общества в тех или иных профессиях, идеологических установках и т. д.",,,nd,параллельные конструкции,да первый второй + квази традиционный-либеральный,нет,да образование,да (общественный/индивидуальный),,,,,,,,,,,,,,,,,,,,,,
,,,"нечеткая логика предлагает совершенно иной уровень мышления, благодаря которому творческий процесс моделирования происходит на более высоком уровне абстракции, при котором постулируется лишь минимальный набор закономерностей.",,"В отличие от традиционной математики, требующей на каждом шаге моделирования точных и однозначных формулировок закономерностей,",,,в отличие от X,совершенно иной,да квази,нет,нет,нет,,,,,,,,,,,,,,,,,,,,,,
,,,Алгоритм принятия решения в АСОУ ГО в военное время принципиально отличается от АСОУ ГО мирного времени.,,"Необходимо отметить, алгоритм принятия решения АСОУ ГО в мирное время аналогичен алгоритму принятия решения АСОУ РСЧС.",,,отличаться от,принципиально,да мирный-военный,нет,да,нет,,,,,,,,,,,,,,,,,,,,,,
,,,в то время как коэффициенты высокочастотных компонент сгруппированы в правой нижней части матрицы.,,"Следует отметить, что коэффициенты низкочастотных компонент располагаются ближе к верхнему левому углу,",,,в то время как,,да (низкочастотный/высокочастотный; верхний левый/нижний правый),нет,да,нет,,,,,,,,,,,,,,,,,,,,,,
,,,то при изучении сочетаемости морфем в словообразовательных процессах [8] значимость экспертизы весьма понятна.,,"И если в случае сочетаемости слов важность экспертных оценок не так очевидна,",,,если... то,"весьма, параллельные конструкции",да (не так очевидна/понятна),,,,,,,,,,,,,,,,,,,,,,,,,
